TICID,Tmag,RA,Dec,Nsector
177283605,8.7,102.4374,-73.5582,28
177284199,8.25,102.4186,-74.5569,35
177284607,11.13,102.4013,-75.2578,25
177284702,9.48,102.3765,-75.4495,17
177285682,8.58,102.6214,-77.4538,25
177286026,7.37,102.7822,-77.674,13
177306969,12.2,103.1051,-73.0002,13
177307515,10.73,102.8013,-72.1403,25
177307808,10.28,103.2065,-72.2,25
177308090,14.24,103.3359,-72.6387,34
177308364,9.41,103.4222,-73.0758,35
177308367,10.87,103.4005,-73.0828,13
177308369,12.81,103.4371,-73.0857,22
177308385,11.67,103.2232,-73.1208,13
177308817,11.78,103.1582,-73.8246,17
177308913,10.49,103.1581,-73.9688,24
177309083,10.51,103.1514,-74.25,25
177309385,7.16,103.3172,-74.724,34
177309573,9.69,103.1377,-75.0752,18
177309964,13.1,103.4526,-75.7037,34
177309987,11.84,103.3389,-75.7469,13
177310473,13.94,103.1365,-76.6538,18
177311244,8.53,103.5508,-77.5064,31
177311830,9.08,103.7091,-76.2659,18
177312459,9.93,103.6243,-75.247,13
177313167,12.88,103.8487,-74.0479,31
177349362,10.25,103.8485,-72.6404,25
177349660,10.23,103.6624,-72.1736,21
177349900,7.96,104.2659,-72.0371,13
177349901,9.83,104.2587,-72.0386,32
177350315,8.3,104.1215,-72.6457,33
177350828,10.01,103.9716,-73.4987,15
177351052,9.92,104.268,-73.8288,25
177352028,13.64,104.004,-75.5674,25
177352893,12.64,103.9756,-77.3694,23
177353450,12.55,104.6605,-77.1852,31
177354054,5.92,104.3344,-75.9877,21
177354239,11.03,104.5081,-75.6598,13
177354263,8.99,104.614,-75.6302,25
177354771,9.85,104.541,-74.7497,25
177385193,10.05,104.3598,-73.8207,25
177385479,10.93,104.4019,-73.413,34
177385488,12.27,104.3168,-73.3978,13
177385907,11.0,104.4726,-72.7748,13
177385959,11.48,104.3066,-72.7254,34
177386111,11.28,104.4099,-72.4971,34
177386428,9.21,104.6334,-72.0753,25
177386783,10.17,104.896,-72.3896,25
177387380,11.63,105.0746,-73.3773,13
177387396,16.17,104.9821,-73.3942,13
177388161,10.09,104.7666,-74.6323,24
177388502,8.3,104.9873,-75.207,32
177388571,10.74,104.9257,-75.333,13
177389261,9.28,104.8307,-76.7086,14
177389302,13.32,104.9413,-76.8064,23
179038240,12.65,79.2469,-67.1979,19
179038379,12.65,78.9967,-67.2732,30
179039934,12.79,79.0284,-68.009,20
179040607,9.92,79.0311,-68.2599,20
179040880,10.18,79.2244,-68.3521,29
179046780,10.22,79.015,-69.318,24
179114436,12.72,79.2043,-69.4976,22
179116917,12.03,79.1828,-69.7774,20
179119903,15.6,79.0582,-70.3259,25
179120455,8.36,79.0109,-70.4561,25
179123560,10.01,79.2152,-71.6054,25
179124163,9.7,79.4561,-71.9236,23
179125917,10.3,79.2704,-71.0751,20
179201107,12.49,79.2735,-70.3231,33
179201407,8.27,79.3173,-70.2596,32
179204591,11.89,79.3869,-69.7521,13
179206253,9.82,79.5076,-69.5605,23
179208877,8.68,79.4837,-69.2677,19
179209305,12.12,79.5497,-69.2176,28
179209402,11.03,79.5223,-69.2059,32
179232118,10.41,79.326,-67.9225,23
179234597,14.85,79.4543,-66.581,21
179243599,12.17,79.6817,-68.126,20
179246484,10.18,79.7205,-68.5703,20
179246511,9.65,79.7948,-68.581,18
179304342,17.07,79.7746,-69.156,13
179304753,13.21,79.7156,-69.2017,24
179304899,11.02,79.5461,-69.2186,32
179305059,10.86,79.6767,-69.2363,31
179305185,9.16,79.5598,-69.2503,24
179305195,11.84,79.5695,-69.2516,13
179306195,9.3,79.6055,-69.3598,22
179308757,12.33,79.7659,-69.6379,31
179308923,11.48,79.8241,-69.6539,31
179308939,10.06,79.8182,-69.6556,20
179309196,10.74,79.7702,-69.6849,21
179312477,10.31,79.6737,-70.1313,24
179315999,13.03,79.7681,-71.0677,24
179317684,10.87,79.7683,-71.8955,26
179369863,8.53,80.1235,-71.5335,30
179369970,8.94,79.9842,-71.4854,25
179376451,11.96,79.9659,-69.8857,32
179378612,11.29,80.0377,-69.6371,20
179385044,11.97,79.8572,-68.8593,18
179438406,13.87,79.9857,-67.6275,21
179438938,12.85,80.0239,-67.3529,31
179441174,10.25,80.0575,-66.0734,21
179442778,12.98,80.3239,-66.8331,18
179443276,11.7,80.4065,-67.1039,18
179517557,11.43,80.4019,-70.7841,22
179574710,12.41,80.3664,-71.9386,31
179575202,11.67,80.7134,-71.7179,19
179576115,9.99,80.4458,-71.3289,13
179582003,10.23,80.4515,-69.9882,32
179583882,9.45,80.5459,-69.7648,23
179586885,11.63,80.4864,-69.4484,20
179637063,13.01,80.6948,-68.0654,24
179637327,12.58,80.6455,-67.962,20
179637336,13.79,80.4989,-67.9602,24
179637387,12.11,80.5719,-67.9492,32
179637488,12.42,80.5158,-67.9247,31
179638852,12.45,80.6333,-67.29,19
179639066,11.59,80.7528,-67.1895,30
179640738,11.54,80.5878,-66.2603,20
188624463,9.64,258.6329,53.8296,13
188633484,13.52,259.0862,53.6096,16
188665149,8.5,259.5689,53.6351,15
188694034,4.36,260.4392,53.4204,15
188694544,13.29,260.5671,52.8006,14
188768068,5.9,261.3493,52.7904,13
188776869,12.48,262.078,53.6206,17
188815378,8.4,262.195,53.2299,15
188819628,1.87,262.608,52.3015,13
188819782,13.11,262.6161,52.7181,14
188833585,8.31,263.6641,52.7053,13
188833961,12.02,263.5504,53.7739,20
188835968,9.77,263.9163,53.1455,16
188836205,8.1,263.9471,53.6993,20
198003939,11.75,59.8045,-59.668,13
198036035,8.5,61.3852,-59.0218,13
198051324,7.68,62.9378,-59.1697,16
198076334,8.21,63.6506,-59.0896,18
198076363,10.66,63.5696,-59.2212,19
198076565,9.64,63.9073,-59.8243,14
198079199,3.53,64.1203,-59.3033,21
198081977,10.8,64.484,-59.6076,17
198157467,12.38,242.8944,64.9154,24
198157501,12.93,242.9164,64.7931,24
198157534,9.48,242.9231,64.6596,20
198157910,13.85,242.8633,63.0888,16
198158212,16.28,242.9067,61.6929,20
198158395,11.91,242.86,61.0523,15
198159071,9.41,243.0763,61.3424,17
198159096,11.59,243.2261,61.4748,19
198159165,12.06,243.1596,61.759,18
198159522,11.0,243.1547,63.3028,23
198159527,8.68,243.2406,63.3168,13
198160324,7.06,243.7381,60.6722,13
198161600,13.76,243.635,65.944,23
198161846,10.75,243.847,64.902,21
198162133,11.3,243.8124,63.568,13
198162224,10.39,243.9158,63.1885,13
198162411,9.5,243.9909,62.4663,13
198162429,12.92,243.9669,62.4085,23
198162437,10.86,243.9607,62.3593,13
198162530,12.19,243.9062,61.927,19
198162957,10.69,243.7598,60.2472,14
198162960,8.14,243.8313,60.2349,18
198163129,12.23,244.0693,60.2307,16
198163183,7.56,244.2225,60.5349,19
198163284,11.1,244.1757,60.9238,15
198176649,10.07,244.0796,62.3728,21
198176724,12.18,244.1312,62.7478,21
198176924,15.43,244.0432,63.5767,16
198177394,9.91,244.0209,65.5794,13
198177457,9.74,244.1618,65.9177,13
198177771,9.75,244.4096,64.5407,23
198178105,10.72,244.4097,63.0776,20
198178123,8.87,244.238,63.0248,13
198178340,9.47,244.347,62.0636,23
198178353,17.27,244.2539,62.0068,13
198178505,7.73,244.3826,61.3682,22
198178859,10.1,244.2812,60.0211,14
198178888,11.07,244.6768,59.9948,13
198179255,11.98,244.6403,61.4761,19
198179599,8.8,244.5295,62.9493,23
198179604,10.52,244.5057,62.962,13
198179808,10.51,244.5564,63.9413,20
198180316,8.15,244.8618,65.6142,27
198180690,8.99,244.9401,63.9684,26
198180712,10.42,244.8805,63.88,19
198180990,9.37,244.7921,62.5327,13
198181022,10.23,244.7626,62.4048,13
198181034,12.57,244.9381,62.3217,24
198181354,10.59,244.8538,61.131,16
198181431,8.04,244.8581,60.8028,21
198181552,8.57,244.7927,60.305,20
198181959,12.98,245.0096,61.1147,13
198182230,11.47,245.2031,62.2641,24
198182246,10.29,245.1027,62.333,21
198182378,9.07,245.0269,62.9377,13
198182380,9.34,245.1894,62.9458,23
198182444,8.5,245.0517,63.2185,27
198182547,11.45,245.1239,63.7036,13
198182602,13.41,244.9918,63.9236,21
198182603,13.39,244.9896,63.924,21
198182753,15.98,245.0893,64.6002,27
198182825,8.47,245.072,64.9686,23
198182923,10.45,245.1709,65.4143,23
198182953,9.17,245.0905,65.5215,23
198183069,8.68,245.4292,65.9358,22
198183300,10.36,245.373,65.073,21
198183379,10.1,245.3803,64.7641,23
198183714,11.22,245.4467,63.3381,23
198184006,8.28,245.3739,62.0674,26
198184195,14.13,245.2218,61.3812,21
198184504,11.02,245.4399,60.1473,16
198184811,11.99,245.657,60.7787,20
198185138,12.53,245.6036,62.0794,23
198185267,13.93,245.6211,62.5698,23
198185275,11.75,245.5119,62.6184,24
198185371,12.75,245.5771,63.076,23
198185441,10.21,245.514,63.3608,22
198185495,10.49,245.6158,63.6083,23
198185764,11.54,245.5939,64.763,13
198185995,11.53,245.5334,65.7084,23
198186425,10.89,245.887,64.3989,18
198186473,12.87,245.9222,64.203,22
198186585,9.51,245.7428,63.7234,13
198186714,8.88,245.8281,63.1501,13
198186769,10.87,245.818,62.9251,16
198186788,10.64,245.7338,62.8298,20
198187049,7.97,245.7292,61.6949,25
198187666,10.95,246.1263,60.5895,16
198187737,9.92,246.1355,60.9213,21
198187775,8.88,246.154,61.0633,23
198187777,10.09,246.0287,61.0779,20
198187877,2.27,245.9977,61.5145,28
198187937,5.25,245.9461,61.6967,27
198188157,8.35,246.1557,62.5788,13
198188588,12.71,246.1025,64.5815,22
198188604,13.57,246.0923,64.6401,22
198188921,9.14,246.2642,65.8462,22
198188973,9.25,246.3357,65.5596,13
198189245,10.13,246.3587,64.2004,20
198189383,8.72,246.3816,63.557,13
198189557,10.81,246.248,62.6942,13
198189572,10.61,246.3848,62.6459,21
198189672,13.32,246.222,62.2306,23
198189816,10.69,246.3242,61.6103,15
198189972,12.65,246.2028,60.9655,13
198190000,13.55,246.241,60.8663,21
198190057,11.66,246.3845,60.6543,13
198204292,11.79,246.696,65.6296,13
198204303,9.31,246.8193,65.5921,13
198204626,11.96,246.7363,64.2883,23
198204693,13.14,246.6625,64.0035,20
198204753,8.8,246.6712,63.7452,28
198204764,9.93,246.7514,63.7014,13
198204917,10.42,246.7313,63.1194,13
198204954,11.53,246.8048,62.9681,24
198205888,11.42,247.109,60.4623,23
198205953,8.94,247.0494,60.6802,26
198206211,13.87,247.1132,61.7824,22
198206300,13.45,247.0154,62.2344,22
198206331,8.26,246.9598,62.3325,28
198206463,10.33,246.9379,62.9128,21
198206613,10.58,247.0431,63.4992,29
198206792,10.34,247.0391,64.2682,20
198207255,14.6,247.168,65.5588,18
198207398,7.13,247.2528,64.7873,27
198207654,11.45,247.3303,63.6028,24
198207845,11.22,247.178,62.7572,23
198208146,11.75,247.3256,61.4828,23
198208315,11.79,247.2808,60.7951,23
198208345,7.77,247.2752,60.6403,27
198208765,8.33,247.6901,64.7743,27
198208960,9.23,247.7703,64.0876,13
198209131,11.84,247.6995,63.385,13
198209677,12.44,247.8245,61.3413,19
198210171,7.04,247.9983,60.4807,14
198210258,5.91,248.1073,60.8232,28
198210299,9.48,247.9512,60.9804,14
198210511,13.05,248.0562,61.8261,23
198210512,10.69,247.9689,61.8286,19
198210588,12.57,247.8862,62.2174,23
198211364,8.77,248.0204,65.5542,24
198211714,11.25,248.2413,64.9026,15
198211716,13.06,248.1472,64.8837,27
198211736,11.5,248.1407,64.804,23
198211871,12.08,248.1568,64.0629,21
198211921,14.04,248.3262,63.8061,22
198211975,14.34,248.3264,63.5314,24
198211976,11.21,248.3331,63.5246,29
198212148,7.06,248.1739,62.8551,22
198212539,7.69,248.3354,61.2337,13
198212955,11.6,248.5533,60.1959,27
198213047,10.67,248.4632,60.6194,19
198213063,8.94,248.5916,60.7303,13
198213142,11.41,248.5456,61.0756,23
198213332,9.29,248.4335,61.7183,18
198213397,11.76,248.4893,61.9868,23
198213399,11.93,248.4764,61.9891,23
198213734,12.51,248.5804,63.3778,24
198214408,10.53,248.6428,65.6012,16
198214526,10.68,248.6444,65.0616,20
198235884,12.42,248.8133,63.3957,22
198235935,8.81,248.7142,63.1839,22
198235995,10.43,248.666,62.913,23
198236067,13.68,248.8315,62.5828,28
198236323,9.01,248.6289,61.5589,13
198236520,11.09,248.8512,60.7742,27
198236586,12.76,248.8008,60.5456,17
198236604,4.51,248.7523,60.4682,27
198236663,9.83,248.7921,60.2281,13
198236922,11.08,248.9984,60.4448,13
198237165,9.66,248.9533,61.4588,23
198237593,9.33,249.0648,63.2272,13
198237770,8.58,248.9606,63.9116,28
198237897,9.48,248.8604,64.5027,23
198238305,9.32,249.1891,65.6498,13
198238477,13.4,249.2925,64.9622,23
198238482,12.15,249.1372,64.926,23
198238666,8.99,249.2622,64.1276,13
198238736,11.75,249.1366,63.896,29
198238742,12.84,249.1657,63.8771,24
198238974,4.73,249.2292,63.0723,27
198239119,10.57,249.3348,62.5673,20
198239578,9.49,249.1607,60.7794,13
198239605,16.16,249.1485,60.7,27
198240135,5.4,249.5403,61.1723,27
198240200,11.35,249.4735,61.3503,22
198240299,8.75,249.4758,61.7314,26
198240449,11.17,249.3678,62.2409,15
198240464,13.14,249.5444,62.2879,27
198240534,8.54,249.4428,62.5533,28
198240887,9.9,249.4941,63.8968,13
198241258,8.62,249.5684,65.4264,27
198241412,14.25,249.8056,65.765,23
198241702,10.99,249.6965,64.5593,29
198241747,11.54,249.6962,64.4209,24
198241851,11.69,249.7694,63.9076,24
198242662,13.78,249.6768,60.7513,18
198242676,9.14,249.7672,60.7016,26
198242678,7.89,249.7668,60.6993,26
198242745,8.42,249.7906,60.4698,25
198277669,10.58,249.8877,60.8957,14
198277670,11.78,249.8893,60.896,22
198277959,10.43,250.0218,61.8813,22
198278424,13.2,249.9693,63.6021,22
198278947,10.97,249.9273,65.5275,20
198278996,10.72,249.8506,65.7915,21
198279004,8.75,249.9569,65.8157,14
198279258,12.74,250.1703,65.0116,23
198279370,3.79,250.2297,64.589,28
198279418,15.08,250.2113,64.4125,20
198279711,14.09,250.2523,63.2826,21
198279946,6.78,250.2761,62.308,26
198280388,11.28,250.2744,60.6062,25
198280919,10.23,250.3681,61.3476,22
198281011,10.83,250.3702,61.6907,17
198281577,7.69,250.4716,63.8161,17
198281724,11.42,250.4931,64.464,13
198281815,12.41,250.4112,64.8792,22
198282047,11.57,250.4872,65.7689,23
198316592,14.56,234.4336,65.0311,13
198353866,10.98,256.0741,59.0512,26
198353919,11.63,256.0348,58.828,16
198354123,12.15,256.0295,58.1192,22
198354348,10.24,255.9705,57.3654,29
198354373,10.33,255.9631,57.3192,21
198354443,11.39,256.1297,57.0727,29
198354567,10.63,256.1197,56.6573,13
198355178,11.92,256.0206,54.8468,13
198355687,5.18,256.3332,54.4705,16
198355953,9.36,256.2903,55.2085,20
198356514,14.06,256.1374,56.8151,23
198356533,8.69,256.1388,56.8425,29
198356680,8.28,256.1547,57.2718,24
198356694,9.48,256.1747,57.3158,13
198357134,10.29,256.2679,58.6439,21
198357224,10.43,256.2504,58.9327,21
198357383,8.14,256.2023,59.4374,23
198357390,10.21,256.3332,59.4538,23
198357674,11.71,256.4068,59.433,27
198357756,9.39,256.4661,59.1589,26
198357824,7.94,256.4676,58.9283,26
198358201,12.71,256.4482,57.7594,22
198358234,11.43,256.3867,57.67,13
198358376,10.5,256.4624,57.1915,13
198358449,13.29,256.3707,56.9087,24
198358825,11.44,256.3569,55.7241,21
198359287,9.27,256.4327,54.3282,16
198359735,11.46,256.698,54.7366,13
198359767,14.66,256.7486,54.8551,14
198359964,9.41,256.5914,55.436,16
198360694,11.04,256.6012,57.661,28
198360971,10.8,256.647,58.5113,16
198361369,9.41,256.683,59.9056,20
198361395,9.9,256.7842,59.8844,23
198361505,11.61,256.8255,59.5438,16
198362099,11.86,256.7843,57.6088,28
198362148,9.9,256.8649,57.457,23
198362724,5.88,256.9518,55.7683,21
198362741,14.65,256.901,55.7188,13
198363657,10.25,256.9754,54.7647,13
198363798,8.84,257.1086,55.1995,19
198364155,7.44,256.9623,56.1715,20
198364361,10.22,257.0798,56.7019,13
198365600,11.9,257.1699,59.1319,26
198365787,11.11,257.302,58.4889,15
198365827,12.52,257.2937,58.3718,17
198365901,9.08,257.2058,58.1007,26
198365980,12.86,257.1835,57.8836,23
198366297,13.39,257.2153,56.954,21
198366332,11.43,257.1776,56.8524,16
198366508,9.27,257.1829,56.4043,20
198366673,11.75,257.244,55.8949,15
198381449,7.77,257.5447,54.4937,19
198382049,13.0,257.4871,56.2182,21
198382308,11.8,257.409,57.0063,18
198382838,9.95,257.5319,58.4076,29
198382901,12.36,257.4468,58.6402,14
198383073,9.1,257.3941,59.1733,17
198383789,8.9,257.7081,58.5047,24
198383938,11.64,257.7741,58.0628,28
198383981,13.42,257.6633,57.9378,21
198384408,6.32,257.7851,56.6588,25
198385291,10.88,257.7585,54.1607,13
198385324,11.23,257.6882,54.049,13
198385543,11.85,257.9548,54.5283,18
198385916,10.53,257.9608,55.5609,15
198386011,12.72,257.9073,55.8405,18
198386262,14.55,257.8351,56.5926,16
198386681,9.14,257.8429,57.8882,19
198386704,6.67,257.9775,57.9679,27
198386781,9.96,257.9206,58.1242,15
198386931,11.36,257.9843,58.595,13
198387015,11.95,257.8143,58.8073,28
198387091,8.57,257.8236,59.0307,24
198387099,9.2,257.9272,59.063,13
198387206,10.31,257.9942,59.4429,22
198387299,11.66,257.8576,59.7236,16
198387338,11.15,257.9762,59.8168,25
198387576,8.83,258.183,59.0685,29
198387602,10.67,258.0832,58.9809,19
198387714,9.44,258.1171,58.6519,13
198388049,10.26,258.0996,57.7004,22
198388094,10.46,258.0134,57.5617,22
198388195,8.36,258.0954,57.2234,26
198388218,9.75,258.0611,57.1377,26
198388252,11.64,258.1954,57.0527,26
198388382,12.7,258.1919,56.6724,22
198388481,15.98,258.1554,56.419,14
198388593,12.6,258.0948,56.0312,19
198389292,10.74,258.3304,53.9931,18
198389335,9.46,258.3925,54.1049,13
198389760,7.18,258.3762,55.4755,22
198390247,10.14,258.2231,57.1978,25
198390460,5.97,258.2179,57.8627,27
198390521,13.66,258.2857,58.0039,21
198390699,7.52,258.3611,58.5247,28
198390707,12.25,258.2362,58.5522,14
198390747,9.87,258.3178,58.6684,25
198390801,10.08,258.3159,58.8697,24
198390828,10.98,258.2372,58.9669,18
198390885,10.29,258.2854,59.2131,24
198390914,14.56,258.2867,59.3265,29
198391011,10.48,258.3784,59.6453,23
198391312,11.39,258.558,59.1781,18
198391313,10.98,258.5331,59.1766,13
198391743,10.47,258.5413,57.8779,13
198391767,11.84,258.4523,57.7754,26
198392281,7.38,258.5282,56.1339,19
198392307,10.55,258.5323,56.0421,13
198392870,8.73,258.5102,54.2215,13
198393843,9.77,258.6376,56.4955,13
198393987,14.18,258.6891,56.9339,22
198407490,8.93,258.7804,58.0857,23
198407592,7.49,258.6825,58.3843,21
198407749,13.57,258.7366,58.8579,27
198407882,11.3,258.6265,59.2946,17
198407957,13.57,258.7835,59.5355,23
198407977,10.93,258.8152,59.5804,13
198408416,12.08,258.9132,58.8646,27
198408455,11.82,259.0246,58.7242,27
198408832,10.29,258.9344,57.6004,21
198409372,8.64,258.9518,56.0774,29
198409739,8.45,259.0142,54.9936,19
198409771,10.34,258.9799,54.9083,13
198410462,11.21,259.2014,54.7708,14
198410480,9.26,259.2319,54.8122,19
198410955,13.46,259.029,56.1034,16
198411258,11.48,259.0491,57.0279,18
198411502,9.34,259.1121,57.7255,13
198412165,11.37,259.2054,59.8016,29
198412174,11.82,259.2116,59.8214,24
198412265,10.68,259.4182,59.7156,18
198412367,9.8,259.3852,59.4225,27
198412375,12.38,259.2915,59.4013,22
198412771,16.83,259.3419,58.0996,13
198412824,8.96,259.4364,57.9228,13
198412919,10.37,259.265,57.6288,23
198413255,10.62,259.2841,56.6979,18
198413262,11.63,259.4126,56.6693,29
198413328,10.08,259.3377,56.5312,13
198413343,11.51,259.2612,56.4905,13
198413430,10.51,259.2604,56.2102,29
198413432,9.4,259.2579,56.2056,18
198413800,10.67,259.2978,55.1598,16
198414886,12.54,259.4641,55.7982,13
198414922,12.66,259.5766,55.9161,17
198415119,11.47,259.5238,56.5469,18
198415364,8.37,259.5568,57.3454,26
198415544,10.2,259.4965,57.9525,13
198415649,8.97,259.6254,58.3588,13
198415849,10.4,259.6294,59.0548,22
198416052,16.03,259.5577,59.8986,16
198416190,12.88,260.2071,59.478,20
198416255,8.21,260.1136,59.1989,25
198416591,8.3,260.092,57.9739,28
198416743,13.52,260.2259,57.4538,24
198418522,11.87,260.8428,56.3484,29
198418527,11.84,260.8635,56.3695,29
198418712,6.25,260.8445,57.0118,24
198418762,11.62,260.72,57.208,24
198419306,9.52,260.7885,59.3182,13
198419407,11.65,260.8489,59.7232,16
198419445,12.37,260.7852,59.9252,21
198419621,11.0,261.7149,54.4183,14
198419972,11.93,261.6545,55.4462,23
198420098,11.78,261.6391,55.8216,13
198455925,10.11,261.7057,58.299,13
198456017,16.01,261.6808,58.6257,24
198456033,6.38,261.5201,58.652,29
198456138,11.39,261.5915,58.9553,13
198456240,10.47,261.5466,59.251,18
198456265,11.32,261.5909,59.3136,17
198456386,9.86,261.6738,59.7487,27
198456524,9.65,261.8104,59.5607,17
198456745,11.51,261.8012,58.7329,17
198456933,8.91,261.8367,58.2144,29
198457034,7.83,261.7517,57.8167,28
198457103,8.07,261.921,57.5106,28
198457170,9.31,261.7455,57.2919,23
198457222,9.34,261.7476,57.1189,23
198457457,9.4,261.8349,56.3751,27
198457856,10.05,261.7845,55.2274,14
198458171,10.97,261.8285,54.3783,14
198458643,10.77,261.9654,54.8587,17
198459038,8.97,261.9734,56.161,27
198459133,11.3,262.0895,56.4389,22
198459363,10.7,261.9893,57.1676,20
198459768,10.29,262.0298,58.586,13
198459916,13.92,262.0594,59.087,23
198478588,11.0,261.9595,59.5178,13
198478619,10.55,262.0173,59.6134,13
198478755,8.94,262.3237,59.8458,29
198478966,11.49,262.2971,59.1204,13
198479347,10.95,262.2719,57.7486,28
198479358,14.4,262.2166,57.7116,23
198479623,11.99,262.2149,56.9116,23
198479798,11.56,262.2827,56.3872,23
198479927,16.36,262.2332,55.9742,28
198480110,9.12,262.1752,55.3589,19
198516314,7.97,236.505,65.5804,18
198516320,12.78,236.6367,65.548,19
198536950,8.88,237.1695,64.0987,15
198537349,8.24,237.1242,62.3445,13
198537575,5.29,237.1689,61.4421,14
198538588,8.42,237.4085,62.6716,14
198538690,7.83,237.2782,63.1426,16
198554875,12.75,237.7448,62.1258,14
198554945,16.65,237.7905,62.4562,15
198555309,8.34,237.8871,64.0222,17
198555959,9.59,238.0482,64.8837,20
198557860,13.1,238.2945,62.5961,15
198558258,9.45,238.3887,64.5456,18
198558275,11.0,238.3878,64.6053,14
198558314,8.31,238.3979,64.7767,20
198558443,5.93,238.3706,65.2884,20
199521747,13.47,239.7525,65.3763,14
199521808,10.41,239.7499,65.0377,17
199522486,12.02,239.8208,61.4015,14
199522589,8.84,239.727,60.8419,14
199523378,8.7,239.9347,62.7559,16
199523459,8.94,240.0249,63.1436,15
199524145,9.02,240.2678,65.5148,13
199524743,10.78,240.2128,62.5083,13
199524870,12.68,240.3358,61.9531,15
199524942,8.75,240.1443,61.6615,14
199525756,14.37,240.4549,61.7794,17
199526445,11.57,240.5221,64.9452,22
199526452,12.39,240.4816,64.9619,22
199526564,13.46,240.587,65.3869,23
199526619,10.57,240.4361,65.6402,13
199547573,13.08,240.719,65.7819,22
199547605,8.69,240.6506,65.6945,13
199547911,11.59,240.6394,64.0989,22
199549199,8.02,240.8948,61.72,17
199549781,10.67,240.9398,64.5943,21
199550090,8.86,241.2564,65.661,23
199550243,10.83,241.0988,64.8616,24
199571528,12.7,241.112,61.879,17
199571641,12.03,241.3015,61.3308,16
199572211,13.25,241.5194,60.9481,14
199572361,8.42,241.5404,61.6255,18
199572752,8.47,241.4221,63.4615,22
199573123,13.36,241.4377,65.0698,28
199573174,8.37,241.3316,65.318,26
199573279,10.54,241.4684,65.7616,13
199574208,10.16,248.5733,57.1689,15
199574211,14.5,248.5784,57.1758,15
199607751,12.16,248.6649,59.7417,22
199607786,8.74,248.5803,59.8573,24
199607802,11.43,248.5937,59.9612,13
199607936,9.18,248.853,59.3667,22
199608168,8.13,248.7459,58.358,18
199610287,7.27,248.9222,57.7809,13
199610621,10.72,249.0544,58.9738,16
199610706,7.91,249.0544,59.3301,26
199610766,13.26,249.1118,59.5108,22
199610815,10.46,249.0101,59.7547,21
199610976,8.66,249.1887,59.4736,20
199612990,4.37,249.5019,56.0159,13
199613601,10.22,249.3679,58.4196,14
199614413,11.37,249.6627,58.2576,16
199614501,10.47,249.5473,57.9309,14
199614787,13.3,249.5477,56.9129,16
199617178,14.45,249.7406,59.6099,20
199617744,7.83,250.0317,58.1201,21
199632719,7.85,250.2071,59.0368,27
199633457,13.83,250.3742,57.9136,14
199634258,10.51,250.4664,55.1729,13
199635160,6.14,250.7441,55.6906,14
199657025,9.21,250.7673,57.851,17
199657553,11.77,250.647,59.4848,23
199657838,9.16,250.8665,59.2664,28
199657919,9.86,250.8839,58.9379,13
199658044,8.67,250.8088,58.5226,24
199660056,11.18,251.0448,56.3709,15
199660422,8.73,250.9821,57.6354,18
199660709,11.03,250.9826,58.6546,13
199660855,11.31,250.9915,59.2434,13
199660910,8.71,250.9941,59.4537,26
199661054,7.75,251.0859,59.9635,23
199661082,11.02,251.2316,59.8799,13
199661339,10.12,251.22,58.8849,13
199661358,12.23,251.2918,58.8168,24
199661658,9.46,251.3695,57.7076,18
199661731,9.94,251.3558,57.4598,18
199661915,4.46,251.3243,56.7822,16
199663359,8.32,251.5414,56.0675,15
199663926,12.37,251.4152,58.3357,24
199664165,9.35,251.4502,59.248,28
199665230,7.81,251.9232,56.8927,17
199665801,9.66,251.8788,58.7693,23
199666114,8.99,251.9183,59.9241,23
199666369,12.34,252.1082,59.0547,29
199666622,13.03,252.1299,58.1118,29
199666719,4.15,252.0692,57.8137,27
199667047,13.04,252.017,56.7091,13
199682037,8.88,252.4178,58.2693,24
199682253,8.61,252.344,58.9993,13
199682561,10.18,252.5964,59.8636,13
199682938,11.24,252.4856,58.3894,13
199685322,9.97,252.8345,57.8283,21
199685765,10.8,252.7331,59.4856,13
199685781,8.16,252.8414,59.5416,29
199685853,13.31,252.6524,59.8064,23
199685885,13.25,252.7678,59.9579,19
199685988,9.88,252.8967,59.5777,13
199685989,11.71,253.0198,59.5764,13
199686157,10.8,252.9642,58.9423,20
199687979,8.71,253.212,55.9974,17
199688293,10.52,253.156,57.2584,15
199688388,9.41,253.0584,57.6049,27
199688409,12.05,253.0515,57.7255,28
199688420,8.85,253.214,57.7685,28
199688472,9.85,253.1403,57.9742,28
199688577,9.87,253.1096,58.4026,27
199708730,9.89,253.5564,55.1348,15
199708835,10.49,253.4908,55.5572,13
199709055,11.9,253.5448,56.3649,20
199709310,10.94,253.4903,57.3913,18
199709319,10.36,253.5014,57.4325,13
199709384,12.4,253.6556,57.6715,23
199709773,9.73,253.4915,59.0388,24
199709857,11.01,253.491,59.4337,13
199709869,10.74,253.4864,59.4667,13
199709973,13.85,253.5149,59.8792,19
199710002,10.01,253.8256,59.8876,13
199710041,12.41,253.8486,59.7166,24
199710127,14.66,253.7749,59.3317,21
199710403,13.42,253.7287,58.3428,22
199710478,9.54,253.7069,58.0021,21
199710552,15.91,253.6703,57.7046,23
199710577,11.09,253.8652,57.6034,15
199710847,9.85,253.8048,56.6269,21
199711171,9.94,253.7305,55.4794,16
199711311,9.97,253.6677,55.1161,15
199712463,14.95,253.9698,56.7972,17
199712572,8.79,253.8922,57.228,26
199712635,14.03,253.9169,57.4446,23
