TICID,Tmag,RA,Dec,Nsector
29987437,13.03,72.8978,-67.8698,23
29987961,12.96,72.9112,-67.5653,19
29989691,9.84,72.7941,-65.9753,21
29990592,11.64,73.0796,-66.7315,32
30031510,9.19,72.9922,-69.4261,20
30032006,11.81,73.2668,-69.6246,13
30033581,9.84,73.1406,-70.398,13
30034081,10.59,73.0289,-70.7313,30
30034266,12.21,73.0377,-70.8534,22
30034268,11.82,73.0014,-70.8534,22
30035035,9.57,72.9974,-71.5288,13
30035088,8.73,73.1825,-71.5719,25
30037565,9.6,73.5422,-70.379,33
30038422,12.49,73.5049,-69.9966,31
30104033,11.12,73.3725,-69.4091,20
30105662,11.4,73.43,-68.8701,21
30106140,11.04,73.4304,-68.7148,21
30110048,10.91,73.3752,-66.9245,31
30110465,4.77,73.3771,-66.6753,32
30110707,10.71,73.5117,-66.4937,13
30111936,11.56,73.8431,-66.472,32
30112388,10.81,73.739,-66.7524,20
30113151,9.6,73.7962,-67.1696,20
30113318,11.74,73.6839,-67.2474,21
30113337,11.76,73.6329,-67.2568,21
30185650,10.36,73.59,-68.0016,25
30186108,13.1,73.6699,-68.1858,24
30186481,9.52,73.6227,-68.2997,25
30188536,12.26,73.6917,-68.9627,20
30189015,12.01,73.8066,-69.1104,13
30189775,9.49,73.6535,-69.3395,13
30190076,12.47,73.6729,-69.4366,20
30191789,9.46,73.6103,-70.0339,32
30192292,9.48,73.8705,-70.2451,24
30192406,9.07,73.873,-70.2936,33
30264850,11.84,74.0979,-70.7245,13
30265037,9.77,74.0162,-70.6141,32
30267198,11.12,74.1667,-69.699,20
30268695,12.03,74.0435,-69.2607,32
30270183,9.72,74.1447,-68.828,33
30271577,10.4,74.045,-68.3937,33
30271757,11.8,73.992,-68.3342,21
30274200,10.26,74.0552,-67.2964,23
30275662,10.38,74.0979,-66.4978,32
30275737,11.46,74.1444,-66.474,13
30275777,11.11,74.1707,-66.4611,32
30275795,11.35,74.0857,-66.4539,32
30275829,11.7,74.0037,-66.4379,13
30275861,12.17,74.1804,-66.4174,32
30312104,10.55,74.4211,-65.9211,13
30312676,11.3,74.2868,-66.3903,32
30312711,13.06,74.2536,-66.407,25
30312722,12.39,74.2108,-66.4098,32
30312800,12.76,74.3237,-66.4421,32
30312916,10.9,74.2671,-66.4863,32
30313007,11.43,74.2132,-66.5302,32
30313036,11.55,74.421,-66.5452,13
30313682,10.06,74.1904,-66.891,20
30314282,9.75,74.4066,-67.192,23
30315586,12.21,74.4033,-67.7937,31
30317282,13.11,74.2723,-68.4147,24
30317301,10.1,74.2836,-68.4201,33
30319402,8.07,74.4275,-69.0012,31
30321719,12.44,74.2333,-69.6286,21
30322368,10.35,74.1962,-69.8402,20
30399823,10.77,74.2106,-70.954,21
30401301,10.67,74.6636,-71.6422,24
30403638,12.76,74.617,-70.2586,20
30403921,8.18,74.5298,-70.1492,24
30404026,11.98,74.7258,-70.1151,13
30405752,12.59,74.4894,-69.5386,21
30407429,8.89,74.6093,-69.0735,33
30409022,10.96,74.7648,-68.6767,21
30467068,12.16,74.6473,-67.4129,20
30467930,10.35,74.5314,-67.0462,13
30469371,8.49,74.569,-66.26,32
30469454,9.27,74.7429,-66.2043,13
30471172,11.79,75.0247,-66.661,19
30471979,11.12,74.9454,-67.0551,20
30526897,11.2,75.0315,-68.45,14
30527482,11.74,74.9894,-68.618,23
30531417,11.12,74.8072,-69.595,17
30533103,9.21,74.9297,-70.1108,24
30534618,12.64,75.0144,-70.7211,21
30537037,10.22,75.3301,-71.4203,24
30630877,8.13,75.1355,-70.6991,31
30631031,7.29,75.1644,-70.6238,24
30631332,12.66,75.1371,-70.497,21
30636219,10.43,75.3455,-69.1524,13
30638473,12.53,75.1994,-68.6295,21
30716342,10.25,75.1704,-66.4752,22
30718115,11.45,75.5382,-66.3433,13
30722080,5.87,75.3867,-68.0285,21
30722685,12.58,75.3864,-68.2206,21
30759304,11.61,75.4383,-70.5978,13
30760081,13.88,75.4601,-70.9797,22
30762052,8.1,75.8561,-71.4138,19
30762159,4.46,75.6791,-71.3142,32
30762498,11.88,75.9034,-71.0776,20
30848598,10.9,75.7378,-68.5666,26
30848801,8.54,75.7673,-68.5113,25
30852936,10.61,75.7868,-66.9597,20
30853028,8.11,75.7767,-66.9099,31
30853470,11.3,75.9162,-66.6548,31
30853990,10.89,75.7943,-66.3579,19
30854160,11.12,75.8758,-66.2657,13
30855727,11.69,76.0566,-66.4329,13
30930925,12.71,76.0672,-67.1238,19
30931370,11.86,76.0415,-67.3305,20
30933383,12.19,76.2091,-68.1312,32
30938252,8.41,76.2231,-69.1688,25
30941184,8.57,76.2141,-69.7048,15
31006009,12.74,75.9844,-70.523,21
31006916,12.61,76.0775,-70.6886,20
31011838,11.59,76.3122,-71.7632,24
31019475,12.82,76.4949,-70.2692,20
31028580,10.71,76.4753,-69.3119,24
31104764,7.62,76.4957,-68.4163,33
31105402,9.76,76.3771,-68.2561,22
31105684,12.12,76.475,-68.1807,33
31105740,12.36,76.363,-68.1674,33
31106039,8.0,76.2779,-68.0864,21
31108599,12.07,76.3529,-67.0493,23
31109583,13.39,76.4553,-66.544,13
31109853,12.41,76.4982,-66.4105,13
31178354,12.51,76.7567,-67.6249,31
31179797,12.72,76.8591,-68.122,20
31181424,11.65,76.6145,-68.5112,21
31181554,10.73,76.8351,-68.5357,33
31183609,11.44,76.8166,-68.8835,13
31189964,10.4,76.5941,-70.0417,21
31264898,10.98,76.838,-70.9357,13
31266926,9.62,88.156,-71.5154,23
31268146,10.13,88.0712,-70.9204,29
31273263,10.79,88.1038,-68.1594,27
31312657,11.61,88.2918,-68.1186,15
31312954,11.84,88.4571,-68.3131,16
31313085,13.38,88.4316,-68.4116,19
31313111,9.71,88.2493,-68.4426,16
31313963,8.97,88.2861,-69.0986,27
31315185,10.36,88.3344,-69.8131,22
31381302,12.49,88.3605,-71.5612,32
31381651,11.87,88.3024,-71.8739,14
31382009,9.69,88.7212,-71.6519,20
31383649,7.86,88.7143,-70.508,22
31386156,10.78,88.5976,-68.8445,17
31412505,9.49,88.9673,-68.263,17
31414018,8.88,88.8919,-69.434,28
31505975,10.02,88.8495,-71.4338,25
31506424,9.17,88.9668,-71.9057,32
31508240,8.14,89.1374,-70.2894,30
31508554,11.27,89.2756,-70.014,30
31509222,7.51,89.31,-69.4774,28
31528780,11.14,89.53,-67.8759,14
31529985,10.55,89.4684,-68.8531,20
31530164,8.46,89.5416,-69.0209,30
31530505,12.05,89.5573,-69.2876,22
31531129,10.75,89.672,-69.8146,20
31532625,11.28,89.6596,-71.1296,19
31532870,9.19,89.6144,-71.3708,16
31533454,11.34,89.6996,-71.8607,20
31601457,11.85,89.789,-68.9717,18
31602748,8.88,89.9081,-67.8437,23
31778786,9.08,49.8365,-70.4255,14
